Title,Author,Date Read,ASIN,Rating
The Lost Books of the Odyssey,Zachary Mason,2020-07-21,"","+3"
Legacy of Ashes: The History of the CIA,Tim Weiner,2020-07-17,"",""
Broad Band: The Untold Story of the Women Who Made the Internet,Claire L.  Evans,2020-07-12,"","+1"
"Network Effect (The Murderbot Diaries, #5)",Martha Wells,2020-07-10,"","+1"
Upright Women Wanted,Sarah Gailey,2020-07-08,"",""
"Sword of Destiny (The Witcher, #0.75)",Andrzej Sapkowski,2020-07-06,ASIN,""
"How to Be Less Stupid About Race: On Racism, White Supremacy, and the Racial Divide",Crystal Marie Fleming,2020-07-05,"",""
How We Get Free: Black Feminism and the Combahee River Collective,Keeanga-Yamahtta Taylor,2020-06-22,"",""
Twitter and Tear Gas: The Power and Fragility of Networked Protest,Zeynep Tufekci,2020-06-09,"","+1"
The End of Policing,Alex S. Vitale,2020-06-06,ASIN,"+1"
Abolish Silicon Valley: How to Liberate Technology from Capitalism,Wendy  Liu,2020-06-02,"",""
The Fallen Sparrow,Dorothy B. Hughes,2020-05-30,"",""
Ride the Pink Horse,Dorothy B. Hughes,2020-05-17,"",""
Normal People,Sally Rooney,2020-05-12,"",""
"Agrippina: Empress, Exile, Hustler, Whore",Emma Southon,2020-04-29,ASIN,""
"One Hundred Poets, One Poem Each: A Treasury of Classical Japanese Verse",Fujiwara no Teika,2020-04-28,"",""
"The Learned Banqueters, Volume VIII: Book 15. General Indexes",Athenaeus of Naucratis,2020-04-27,"",""
"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",Ronan Farrow,2019-10-29,"",""
Silencing the Past,Michel-Rolph Trouillot,2020-04-05,"","+3"
Homer's Odyssey 6-8: Greek Text with Facing Vocabulary and Commentary,Geoffrey Steadman,2020-04-02,"",""
The Lathe of Heaven,Ursula K. Le Guin,2020-03-25,"","+1"
"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,2020-03-21,"",""
This Land Is Our Land: The Struggle for a New Commonwealth,Jedediah Purdy,2020-03-19,ASIN,"+1"
Sixteenth Watch,Myke Cole,2020-03-19,ASIN,""
Frantumaglia: A Writer's Journey,Elena Ferrante,2020-03-04,"",""
Xenophon's Anabasis Book 1: Greek Text with Facing Vocabulary and Commentary,Geoffrey Steadman,2020-03-01,"",""
Sparta,Melvin Cooley,2020-02-23,"","+3"
Ancient Rome: From Romulus to Justinian,Thomas R. Martin,2020-02-22,"",""
How to Do Nothing: Resisting the Attention Economy,Jenny Odell,2020-02-17,"","+1"
The Odyssey,Homer,2018-05-20,ASIN,"+3"
The Learned Banqueters: Books 13.594b-14,Athenaeus of Naucratis,2020-02-08,"",""
Paperbacks from Hell: The Twisted History of '70s and '80s Horror Fiction,Grady Hendrix,2020-02-08,"",""
Lysias I and Plato's Crito: Greek Text with Facing Vocabulary and Commentary,Geoffrey D. Steadman,2020-01-27,"",""
This Is How You Lose the Time War,Amal El-Mohtar,2019-12-27,ASIN,"+1"
Uncanny Valley,Anna Wiener,2020-01-19,"",""
Thick: And Other Essays,Tressie McMillan Cottom,2020-01-18,"","+1"
"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,2020-01-08,ASIN,""
The Return of Martin Guerre,Natalie Zemon Davis,2020-01-04,"",""
The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,Shoshana Zuboff,2020-01-02,"",""
Kudos,Rachel Cusk,2019-12-31,"","+2"
1177 B.C.: The Year Civilization Collapsed,Eric H. Cline,2019-12-30,"",""
The Ultimate Christmas Cracker,John Julius Norwich,2019-12-28,"",""
How to Slowly Kill Yourself and Others in America,Kiese Laymon,2019-12-28,"",""
"The Third Reich in Power (The History of the Third Reich, #2)",Richard J. Evans,2019-12-24,"",""
Ancillary Sword (Imperial Radch #2),Ann Leckie,2019-12-21,"",""
Ludicrous: The Unvarnished Story of Tesla Motors,Edward Niedermeyer,2019-12-20,ASIN,"+1"
Socrates in Love: The Making of a Philosopher,Armand D’Angour,2019-12-19,"",""
The Man They Wanted Me to Be: Toxic Masculinity and a Crisis of Our Own Making,Jared Yates Sexton,2019-12-12,ASIN,""
A Dead Djinn in Cairo,P. Djèlí Clark,2019-11-27,"",""
Winners Take All: The Elite Charade of Changing the World,Anand Giridharadas,2019-11-22,"","+1"
Red at the Bone,Jacqueline Woodson,2019-11-20,"",""
"Whose Body?  (Lord Peter Wimsey, #1)",Dorothy L. Sayers,2019-11-19,"",""
Ancillary Justice (Imperial Radch #1),Ann Leckie,2019-11-16,"","+1"
Bible Nation: The United States of Hobby Lobby,Candida R. Moss,2019-11-13,"","+2"
"The Horse, the Wheel, and Language: How Bronze-Age Riders from the Eurasian Steppes Shaped the Modern World",David W. Anthony,2019-11-11,"","+2"
"The Night Masquerade (Binti, #3)",Nnedi Okorafor,2019-11-08,"",""
Algorithms of Oppression: How Search Engines Reinforce Racism,Safiya Umoja Noble,2019-11-02,"","+1"
Autonomous,Annalee Newitz,2019-11-01,"",""
Because Internet: Understanding the New Rules of Language,Gretchen McCulloch,2019-10-30,"","+1"
Ancient Greece: From Prehistoric to Hellenistic Times,Thomas R. Martin,2019-10-28,"",""
Less,Andrew Sean Greer,2019-10-22,ASIN,"+1"
The Halloween Tree,Ray Bradbury,2019-10-18,"",""
We Have Always Lived in the Castle,Shirley Jackson,2019-10-16,"",""
How to Be an Antiracist,Ibram X. Kendi,2019-10-16,"",""
The Learned Banqueters: Books 12-13.594b,Athenaeus of Naucratis,2019-10-06,"",""
Transit,Rachel Cusk,2019-10-05,"",""
"The Colour of Magic (Discworld, #1)",Terry Pratchett,2019-10-01,"",""
Outline,Rachel Cusk,2019-09-28,"","+3"
The Expendable Man,Dorothy B. Hughes,2019-09-24,"","+2"
Men Explain Things to Me,Rebecca Solnit,2019-09-22,"",""
"The Royal Art of Poison: Filthy Palaces, Fatal Cosmetics, Deadly Medicine, and Murder Most Foul",Eleanor Herman,2019-09-22,"",""
Classics: A Very Short Introduction,Mary Beard,2019-09-21,"",""
Trick Mirror: Reflections on Self-Delusion,Jia Tolentino,2019-09-20,"",""
The Vegetarian,Han Kang,2019-09-18,ASIN,""
Legion versus Phalanx,Myke Cole,2019-09-15,"","+1"
Pachinko,Min Jin Lee,2019-09-14,"",""
Cult of the Dead Cow: How the Original Hacking Supergroup Might Just Save the World,Joseph Menn,2019-09-08,"",""
We Should All Be Feminists,Chimamanda Ngozi Adichie,2019-09-05,ASIN,""
Fluent Forever: How to Learn Any Language Fast and Never Forget It,Gabriel Wyner,2019-09-02,ASIN,"+1"
"In the Woods (Dublin Murder Squad, #1)",Tana French,2019-08-28,ASIN,""
The Haunting of Hill House,Shirley Jackson,2019-08-22,"",""
The Days of Abandonment,Elena Ferrante,2019-08-18,"",""
Conversations with Friends,Sally Rooney,2019-08-16,ASIN,"+1"
"The Chapo Guide to Revolution: A Manifesto Against Logic, Facts, and Reason",Chapo Trap House,2019-08-12,ASIN,""
"Home (Binti, #2)",Nnedi Okorafor,2019-08-07,"",""
Convenience Store Woman,Sayaka Murata,2019-08-06,ASIN,"+2"
The Personality Brokers: The Strange History of Myers-Briggs and the Birth of Personality Testing,Merve Emre,2019-08-06,"",""
"Exit Strategy (The Murderbot Diaries, #4)",Martha Wells,2019-08-05,ASIN,""
The Fire Next Time,James Baldwin,2019-07-31,"",""
"Rogue Protocol (The Murderbot Diaries, #3)",Martha Wells,2019-07-25,"",""
The People’s Republic of Walmart: How the World’s Biggest Corporations are Laying the Foundation for Socialism,Leigh Phillips,2019-07-23,ASIN,""
Simple Times: Crafts for Poor People,Amy Sedaris,2019-07-21,"",""
"Cribsheet: A Data-Driven Guide to Better, More Relaxed Parenting, from Birth to Preschool",Emily Oster,2019-07-18,"","+1"
Expecting Better: Why the Conventional Pregnancy Wisdom is Wrong - and What You Really Need to Know,Emily Oster,2019-07-18,"","+1"
"Artificial Condition (The Murderbot Diaries, #2)",Martha Wells,2019-07-07,"",""
Nemesis: Alcibiades and the Fall of Athens,David Stuttard,2019-07-06,"",""
Athanasius Kircher: The Last Man Who Knew Everything,Paula Findlen,2015-05-11,"",""
"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,2019-06-07,ASIN,""
In a Lonely Place,Dorothy B. Hughes,2019-05-17,"","+3"
The Bakkhai,Euripides,2019-05-12,"",""
"The Lost Plays of Greek Tragedy, Volume 1: Neglected Authors",Matthew  Wright,2019-05-11,"",""
Tetris: The Games People Play,Box Brown,2019-05-08,"",""
Troubling Love,Elena Ferrante,2019-04-28,"",""
"The Learned Banqueters, V, Books 10.420e-11 (Loeb Classical Library) (Volume V)",Athenaeus of Naucratis,2019-04-20,"",""
Heracles,Euripides,2019-04-18,"",""
"Super Mario Bros. 2 (Boss Fight Books, #6)",Jon Irwin,2019-04-17,"",""
"Springfield Confidential: Jokes, Secrets, and Outright Lies from a Lifetime Writing for The Simpsons",Mike Reiss,2019-04-14,"",""
Creepiness,Adam Kotsko,2019-04-08,"",""
The Female Gaze: Essential Movies Made by Women,Alicia Malone,2019-03-31,ASIN,""
Grief Lessons: Four Plays by Euripides,Anne Carson,2019-01-19,"",""
Back Story,David        Mitchell,2019-03-27,"",""
"The Story of the Lost Child (The Neapolitan Novels, #4)",Elena Ferrante,2019-03-14,"",""
The End Of Books,Octave Uzanne,2019-03-14,ASIN,""
The Classical Debt: Greek Antiquity in an Era of Austerity,Johanna Hanink,2019-02-17,"","+1"
"Soldier of Arete (Latro, #2)",Gene Wolfe,2019-02-15,ASIN,""
"Those Who Leave and Those Who Stay (The Neapolitan Novels, #3)",Elena Ferrante,2019-01-09,"",""
